Date,Short Volume,Total Volume
7/14/2016,32286,59886
7/15/2016,55214,106882
7/18/2016,70708,133888
7/19/2016,53911,94312
7/20/2016,40189,77356
7/21/2016,33136,65615
7/22/2016,57105,85540
7/25/2016,34588,57997
7/26/2016,35637,69375
7/27/2016,85903,130908
7/28/2016,126517,208303
7/29/2016,251474,346598
8/1/2016,117409,174604
8/2/2016,108575,153469
8/3/2016,50003,90301
8/4/2016,38731,72471
8/5/2016,75886,107104
8/8/2016,36494,79621
8/9/2016,50018,109519
8/10/2016,35259,66041
8/11/2016,32287,71341
8/12/2016,28926,64988
8/15/2016,26885,51174
8/16/2016,33856,70238
8/17/2016,56079,92025
8/18/2016,38853,72399
8/19/2016,40801,84699
8/22/2016,41516,64275
8/23/2016,30254,51664
8/24/2016,35822,72323
8/25/2016,42885,71739
8/26/2016,52443,95271
8/29/2016,26211,53036
8/30/2016,39860,84552
8/31/2016,23373,49253
9/1/2016,38029,76128
9/2/2016,85501,132284
9/6/2016,74538,123595
9/7/2016,36361,69782
9/8/2016,48685,103167
9/9/2016,87842,137753
9/12/2016,76774,117228
9/13/2016,69421,107894
9/14/2016,52463,80331
9/15/2016,80379,126325
9/16/2016,70689,130774
9/19/2016,34246,63629
9/20/2016,32844,63845
9/21/2016,48154,93378
9/22/2016,82795,131888
9/23/2016,60718,96636
9/26/2016,54072,104426
9/27/2016,37606,69862
9/28/2016,42901,71673
9/29/2016,46591,88929
9/30/2016,62044,110153
10/3/2016,44578,78342
10/4/2016,42795,84283
10/5/2016,32026,60331
10/6/2016,37721,58377
10/7/2016,40029,72057
10/10/2016,59455,99192
10/11/2016,50190,95614
10/12/2016,27841,52181
10/13/2016,40038,75038
10/14/2016,39510,59121
10/17/2016,26893,46485
10/18/2016,79937,122818
10/19/2016,40626,75980
10/20/2016,35003,72127
10/21/2016,48635,92396
10/24/2016,39705,83970
10/25/2016,40350,99029
10/26/2016,45926,106507
10/27/2016,66107,147507
10/28/2016,122985,265064
10/31/2016,68690,123306
11/1/2016,83899,168203
11/2/2016,61559,127120
11/3/2016,65834,112435
11/4/2016,66699,121094
11/7/2016,44242,93814
11/8/2016,54566,103311
11/9/2016,97449,168688
11/10/2016,152663,310265
11/11/2016,86033,184350
11/14/2016,84076,178004
11/15/2016,75650,169158
11/16/2016,54614,105335
11/17/2016,40356,94272
11/18/2016,74262,130859
11/21/2016,70181,116465
11/22/2016,39054,81694
11/23/2016,54964,88862
11/25/2016,29859,48970
11/28/2016,92414,146782
11/29/2016,46892,84266
11/30/2016,66785,137431
12/1/2016,90871,188922
12/2/2016,48501,114631
12/5/2016,55284,105141
12/6/2016,47466,97380
12/7/2016,42509,102192
12/8/2016,52185,110445
12/9/2016,81009,136415
12/12/2016,47680,83154
12/13/2016,72246,140650
12/14/2016,62663,107381
12/15/2016,50958,93329
12/16/2016,57235,95557
12/19/2016,43048,79870
12/20/2016,23263,45889
12/21/2016,34048,66234
12/22/2016,39028,66426
12/23/2016,20463,32059
12/27/2016,30710,52371
12/28/2016,39259,65894
12/29/2016,29098,59644
12/30/2016,79454,110552
1/3/2017,53175,98171
1/4/2017,39054,67538
1/5/2017,36264,70094
1/6/2017,66250,131840
1/9/2017,32098,63179
1/10/2017,26932,48391
1/11/2017,32299,57966
1/12/2017,29816,52078
1/13/2017,25304,51925
1/17/2017,28075,54029
1/18/2017,21289,34906
1/19/2017,36548,55357
1/20/2017,48091,72432
1/23/2017,66033,117938
1/24/2017,37683,72048
1/25/2017,36790,92377
1/26/2017,80613,163246
1/27/2017,155278,242602
1/30/2017,121109,242401
1/31/2017,77274,143262
2/1/2017,62003,129827
2/2/2017,47532,92058
2/3/2017,60828,106027
2/6/2017,44079,85004
2/7/2017,48012,96412
2/8/2017,48371,83640
2/9/2017,50824,85484
2/10/2017,66228,112709
2/13/2017,37946,76636
2/14/2017,33360,64336
2/15/2017,51154,107104
2/16/2017,35334,67999
2/17/2017,77112,111692
2/21/2017,33847,74679
2/22/2017,52786,102561
2/23/2017,48578,93991
2/24/2017,63357,118671
2/27/2017,38432,71996
2/28/2017,42960,77209
3/1/2017,51209,108569
3/2/2017,49517,85055
3/3/2017,51293,84035
3/6/2017,34221,62404
3/7/2017,38575,77391
3/8/2017,39203,75186
3/9/2017,42633,102645
3/10/2017,53557,98278
3/13/2017,25533,54728
3/14/2017,40041,65544
3/15/2017,50666,86735
3/16/2017,53330,86344
3/17/2017,52880,70433
3/20/2017,43397,81086
3/21/2017,86168,174985
3/22/2017,64648,110580
3/23/2017,109101,210510
3/24/2017,80723,156182
3/27/2017,69977,125074
3/28/2017,62087,120312
3/29/2017,52101,89125
3/30/2017,34060,69523
3/31/2017,46545,80320
4/3/2017,64287,112922
4/4/2017,37236,72642
4/5/2017,61479,126044
4/6/2017,49418,97402
4/7/2017,40606,80416
4/10/2017,28442,49618
4/11/2017,34549,72840
4/12/2017,25309,55967
4/13/2017,57345,86879
4/17/2017,40377,78027
4/18/2017,39335,62538
4/19/2017,44239,88279
4/20/2017,52765,91175
4/21/2017,44216,85275
4/24/2017,38862,89959
4/25/2017,58596,109706
4/26/2017,36593,76595
4/27/2017,54445,133906
4/28/2017,181639,253218
5/1/2017,64179,112808
5/2/2017,68698,120467
5/3/2017,59777,98038
5/4/2017,63748,82513
5/5/2017,52520,89332
5/8/2017,58858,93444
